srr	condition_type	treatment	conc_intens	start_time	end_time	time_unit
SRR11802028	no treatment					
SRR11802029	no treatment					
SRR11802030	no treatment					
SRR11802031	no treatment					
SRR11802032	no treatment					
SRR11802033	no treatment					
SRR11802034	no treatment					
SRR11802035	no treatment					
SRR11802036	no treatment					
SRR11802037	no treatment					
SRR11802038	no treatment					
SRR11802039	no treatment					
SRR11802040	no treatment					
SRR11802041	no treatment					
SRR11802042	no treatment					
SRR11802043	no treatment					
SRR11802044	no treatment					
SRR11802024	no treatment					
SRR11802025	no treatment					
SRR11802026	no treatment					
SRR11802027	no treatment					
SRR13242137	no treatment					
SRR13242138	treatment	triptolide	500 nM	-1	0	hr
SRR13242139	treatment	triptolide	500 nM	-4	0	hr
SRR13242380	no treatment					
SRR13242381	no treatment					
SRR6727862	no treatment					
SRR6727863	no treatment					
SRR6727864	no treatment					
SRR6727865	no treatment					
SRR6727866	no treatment					
SRR6727867	no treatment					
SRR6727868	no treatment					
SRR6727869	no treatment					
SRR6727870	no treatment					
SRR6727871	no treatment					
SRR6727872	no treatment					
SRR6727873	no treatment					
SRR6727874	no treatment					
SRR6727875	no treatment					
SRR6727876	no treatment					
SRR6727877	no treatment					
SRR6727878	no treatment					
SRR6727879	no treatment					
SRR6727880	no treatment					
SRR6727881	no treatment					
SRR6727882	no treatment					
SRR6727883	no treatment					
SRR6727884	no treatment					
SRR6727885	no treatment					
SRR6727886	no treatment					
SRR6727887	no treatment					
SRR6727888	no treatment					
SRR6727889	no treatment					
SRR6727890	no treatment					
SRR6727891	no treatment					
SRR6727892	no treatment					
SRR6727893	no treatment					
SRR6727894	no treatment					
SRR6727895	no treatment					
SRR6727896	no treatment					
SRR6727897	no treatment					
SRR6727898	no treatment					
SRR6727899	no treatment					
SRR6727900	no treatment					
SRR6727901	no treatment					
SRR6727902	no treatment					
SRR6727903	no treatment					
SRR6727904	no treatment					
SRR6727905	no treatment					
SRR6727906	no treatment					
SRR6727907	no treatment					
SRR6727908	no treatment					
SRR6727909	no treatment					
SRR6727910	no treatment					
SRR6727911	no treatment					
SRR6727912	no treatment					
SRR6727913	no treatment					
SRR6727914	no treatment					
SRR6727915	no treatment					
SRR6727916	no treatment					
SRR6727917	no treatment					
SRR6727918	no treatment					
SRR6727919	no treatment					
SRR6727920	no treatment					
SRR6727921	no treatment					
SRR6727922	no treatment					
SRR6727923	no treatment					
SRR6727924	no treatment					
SRR6727925	no treatment					
SRR6727926	no treatment					
SRR6727927	no treatment					
SRR6727928	no treatment					
SRR6727929	no treatment					
SRR6727930	no treatment					
SRR6727931	no treatment					
SRR6727932	no treatment					
SRR6727933	no treatment					
SRR6727934	no treatment					
SRR6727935	no treatment					
SRR6727936	no treatment					
SRR6727937	no treatment					
SRR6727938	no treatment					
SRR6727939	no treatment					
SRR6727940	no treatment					
SRR6727941	no treatment					
SRR6727942	no treatment					
SRR6727943	no treatment					
SRR6727944	no treatment					
SRR6727945	no treatment					
SRR6727946	no treatment					
SRR6727947	no treatment					
SRR6727948	no treatment					
SRR6727949	no treatment					
SRR6727950	no treatment					
SRR6727951	no treatment					
SRR6727952	no treatment					
SRR6727953	no treatment					
SRR6727954	no treatment					
SRR6727955	no treatment					
SRR6727956	no treatment					
SRR6727957	no treatment					
SRR6727958	no treatment					
SRR6727959	no treatment					
SRR3555068	no treatment					
SRR3555069	no treatment					
SRR7458410	no treatment					
SRR7458411	no treatment					
SRR7458412	no treatment					
SRR7458413	no treatment					
SRR7458414	no treatment					
SRR7458415	no treatment					
SRR7458416	no treatment					
SRR7458417	no treatment					
SRR7458418	no treatment					
SRR7458419	no treatment					
SRR7458420	no treatment					
SRR7458421	no treatment					
SRR7458422	no treatment					
SRR7458423	no treatment					
SRR7458424	no treatment					
SRR7458425	no treatment					
SRR7458426	no treatment					
SRR7458427	no treatment					
SRR7458428	no treatment					
SRR7458429	treatment	heat shock	42 Celsius	-1	0	hr
SRR5100756	no treatment					
SRR5100757	no treatment					
SRR5100758	no treatment					
SRR5100759	no treatment					
SRR5100760	no treatment					
SRR5100761	no treatment					
SRR5100762	no treatment					
SRR5100763	no treatment					
SRR11607571	treatment	dsRNA LacZ	10 microg/mL	-5	0	day
SRR11607572	treatment	dsRNA LacZ	10 microg/mL	-5	0	day
SRR11607573	treatment	dsRNA LacZ	10 microg/mL	-5	0	day
SRR11607574	treatment	dsRNA Gaf	10 microg/mL	-5	0	day
SRR11607575	treatment	dsRNA Gaf	10 microg/mL	-5	0	day
SRR11607576	treatment	dsRNA Gaf	10 microg/mL	-5	0	day
SRR11607577	treatment	dsRNA Bap170	10 microg/mL	-5	0	day
SRR11607563	treatment	dsRNA Bap170	10 microg/mL	-5	0	day
SRR11607564	treatment	dsRNA Bap170	10 microg/mL	-5	0	day
SRR11607565	treatment	dsRNA Nurf301	10 microg/mL	-5	0	day
SRR11607566	treatment	dsRNA Nurf301	10 microg/mL	-5	0	day
SRR11607567	treatment	dsRNA Nurf301	10 microg/mL	-5	0	day
SRR11607568	treatment	dsRNA Nurf301	5 microg/mL	-5	0	day
SRR11607568	treatment	dsRNA Bap170	5 microg/mL	-5	0	day
SRR11607569	treatment	dsRNA Nurf301	5 microg/mL	-5	0	day
SRR11607569	treatment	dsRNA Bap170	5 microg/mL	-5	0	day
SRR11607570	treatment	dsRNA Nurf301	5 microg/mL	-5	0	day
SRR11607570	treatment	dsRNA Bap170	5 microg/mL	-5	0	day
SRR618498	treatment	dsRNA control	10 microg/well			
SRR618499	treatment	dsRNA control	10 microg/well			
SRR618500	treatment	dsRNA Rad21	10 microg/well			
SRR618501	treatment	dsRNA Rad21	10 microg/well			
SRR618502	treatment	dsRNA Nipped-B	10 microg/well			
SRR618503	treatment	dsRNA Nipped-B	10 microg/well			
SRR10673649	vehicle	DMSO	NA or not known			
SRR10673650	vehicle	DMSO	NA or not known			
SRR10673651	treatment	trichostatin A	400 nM	-10	0	min
SRR10673652	treatment	trichostatin A	400 nM	-10	0	min
SRR10673653	treatment	trichostatin A	400 nM	-30	0	min
SRR10673654	treatment	trichostatin A	400 nM	-30	0	min
SRR6904125	no treatment					
SRR6904126	no treatment					
SRR6904127	no treatment					
SRR6904128	no treatment					
SRR6904129	treatment	heat shock	43 Celsius	-90	0	min
SRR6904130	treatment	heat shock	43 Celsius	-90	0	min
SRR6904131	treatment	heat shock	43 Celsius	-90	0	min
SRR6904132	treatment	heat shock	43 Celsius	-90	0	min
SRR4012390	vehicle	ethanol	NA or not known	-30	0	min
SRR4012390	vehicle	DMSO	NA or not known	-30	0	min
SRR4012391	vehicle	ethanol	NA or not known	-30	0	min
SRR4012391	vehicle	DMSO	NA or not known	-30	0	min
SRR4012392	vehicle	ethanol	NA or not known	-30	0	min
SRR4012392	vehicle	DMSO	NA or not known	-30	0	min
SRR4012393	treatment	phorbol 12-myristate 13-acetate	25 ng/mL	-30	0	min
SRR4012393	treatment	ionomycin	1 mM	-30	0	min
SRR4012394	treatment	phorbol 12-myristate 13-acetate	25 ng/mL	-30	0	min
SRR4012394	treatment	ionomycin	1 mM	-30	0	min
SRR4012395	treatment	phorbol 12-myristate 13-acetate	25 ng/mL	-30	0	min
SRR4012395	treatment	ionomycin	1 mM	-30	0	min
SRR4012396	vehicle	ethanol	NA or not known	-30	0	min
SRR4012396	vehicle	DMSO	NA or not known	-30	0	min
SRR4012397	vehicle	ethanol	NA or not known	-30	0	min
SRR4012397	vehicle	DMSO	NA or not known	-30	0	min
SRR4012398	treatment	phorbol 12-myristate 13-acetate	25 ng/mL	-30	0	min
SRR4012398	treatment	ionomycin	1 mM	-30	0	min
SRR4012399	treatment	phorbol 12-myristate 13-acetate	25 ng/mL	-30	0	min
SRR4012399	treatment	ionomycin	1 mM	-30	0	min
SRR4012400	vehicle	ethanol	NA or not known	-30	0	min
SRR4012400	vehicle	DMSO	NA or not known	-30	0	min
SRR4012401	vehicle	ethanol	NA or not known	-30	0	min
SRR4012401	vehicle	DMSO	NA or not known	-30	0	min
SRR4012402	treatment	phorbol 12-myristate 13-acetate	25 ng/mL	-30	0	min
SRR4012402	treatment	ionomycin	1 mM	-30	0	min
SRR4012403	treatment	phorbol 12-myristate 13-acetate	25 ng/mL	-30	0	min
SRR4012403	treatment	ionomycin	1 mM	-30	0	min
SRR4012404	vehicle	ethanol	NA or not known	-30	0	min
SRR4012404	vehicle	DMSO	NA or not known	-30	0	min
SRR4012405	vehicle	ethanol	NA or not known	-30	0	min
SRR4012405	vehicle	DMSO	NA or not known	-30	0	min
SRR4012406	treatment	phorbol 12-myristate 13-acetate	25 ng/mL	-30	0	min
SRR4012406	treatment	ionomycin	1 mM	-30	0	min
SRR4012407	treatment	phorbol 12-myristate 13-acetate	25 ng/mL	-30	0	min
SRR4012407	treatment	ionomycin	1 mM	-30	0	min
SRR4012408	vehicle	ethanol	NA or not known	-30	0	min
SRR4012408	vehicle	DMSO	NA or not known	-30	0	min
SRR4012409	vehicle	ethanol	NA or not known	-30	0	min
SRR4012409	vehicle	DMSO	NA or not known	-30	0	min
SRR4012410	treatment	phorbol 12-myristate 13-acetate	25 ng/mL	-30	0	min
SRR4012410	treatment	ionomycin	1 mM	-30	0	min
SRR4012412	treatment	phorbol 12-myristate 13-acetate	25 ng/mL	-30	0	min
SRR4012412	treatment	ionomycin	1 mM	-30	0	min
SRR4012413	vehicle	ethanol	NA or not known	-30	0	min
SRR4012413	vehicle	DMSO	NA or not known	-30	0	min
SRR4012414	treatment	phorbol 12-myristate 13-acetate	25 ng/mL	-30	0	min
SRR4012414	treatment	ionomycin	1 mM	-30	0	min
SRR4012415	vehicle	ethanol	NA or not known	-30	0	min
SRR4012415	vehicle	DMSO	NA or not known	-30	0	min
SRR4012416	vehicle	ethanol	NA or not known	-30	0	min
SRR4012416	vehicle	DMSO	NA or not known	-30	0	min
SRR4012417	vehicle	ethanol	NA or not known	-30	0	min
SRR4012417	vehicle	DMSO	NA or not known	-30	0	min
SRR4012418	vehicle	ethanol	NA or not known	-30	0	min
SRR4012418	vehicle	DMSO	NA or not known	-30	0	min
SRR4012419	vehicle	ethanol	NA or not known	-30	0	min
SRR4012419	vehicle	DMSO	NA or not known	-30	0	min
SRR4012420	treatment	phorbol 12-myristate 13-acetate	25 ng/mL	-30	0	min
SRR4012420	treatment	ionomycin	1 mM	-30	0	min
SRR4012421	treatment	phorbol 12-myristate 13-acetate	25 ng/mL	-30	0	min
SRR4012421	treatment	ionomycin	1 mM	-30	0	min
SRR4012422	treatment	phorbol 12-myristate 13-acetate	25 ng/mL	-30	0	min
SRR4012422	treatment	ionomycin	1 mM	-30	0	min
SRR4012423	vehicle	ethanol	NA or not known	-30	0	min
SRR4012423	vehicle	DMSO	NA or not known	-30	0	min
SRR4012424	vehicle	ethanol	NA or not known	-30	0	min
SRR4012424	vehicle	DMSO	NA or not known	-30	0	min
SRR4012425	vehicle	ethanol	NA or not known	-30	0	min
SRR4012425	vehicle	DMSO	NA or not known	-30	0	min
SRR4012426	treatment	phorbol 12-myristate 13-acetate	25 ng/mL	-30	0	min
SRR4012426	treatment	ionomycin	1 mM	-30	0	min
SRR4012427	treatment	phorbol 12-myristate 13-acetate	25 ng/mL	-30	0	min
SRR4012427	treatment	ionomycin	1 mM	-30	0	min
SRR4012428	treatment	phorbol 12-myristate 13-acetate	25 ng/mL	-30	0	min
SRR4012428	treatment	ionomycin	1 mM	-30	0	min
SRR4012429	vehicle	ethanol	NA or not known	-30	0	min
SRR4012429	vehicle	DMSO	NA or not known	-30	0	min
SRR4012430	vehicle	ethanol	NA or not known	-30	0	min
SRR4012430	vehicle	DMSO	NA or not known	-30	0	min
SRR6780907	vehicle	ethanol	NA or not known	-30	0	min
SRR6780907	vehicle	DMSO	NA or not known	-30	0	min
SRR6780908	treatment	phorbol 12-myristate 13-acetate	25 ng/mL	-30	0	min
SRR6780908	treatment	ionomycin	1 mM	-30	0	min
SRR6780909	vehicle	ethanol	NA or not known	-30	0	min
SRR6780909	vehicle	DMSO	NA or not known	-30	0	min
SRR6780910	treatment	phorbol 12-myristate 13-acetate	25 ng/mL	-30	0	min
SRR6780910	treatment	ionomycin	1 mM	-30	0	min
SRR12083664	no treatment					
SRR12083665	no treatment					
SRR10582201	vehicle	DMSO	NA or not known	-4	0	hr
SRR10582202	treatment	THZ531	100 nM	-4	0	hr
SRR10582203	treatment	THZ531	200 nM	-4	0	hr
SRR10582204	treatment	DRB	100 microM	-4	0	hr
SRR10582204	vehicle	DMSO	NA or not known	-4	0	hr
SRR10582205	treatment	DRB	100 microM	-4	0	hr
SRR10582205	treatment	THZ531	100 nM	-4	0	hr
SRR10582206	treatment	DRB	100 microM	-4	0	hr
SRR10582206	treatment	THZ531	200 nM	-4	0	hr
SRR10582207	treatment	DRB	100 microM	-15150	-750	s
SRR10582207	vehicle	DMSO	NA or not known	-15150	-750	s
SRR10582208	treatment	DRB	100 microM	-15150	-750	s
SRR10582208	treatment	THZ531	100 nM	-15150	-750	s
SRR10582209	treatment	DRB	100 microM	-15150	-750	s
SRR10582209	treatment	THZ531	200 nM	-15150	-750	s
SRR10582210	treatment	DRB	100 microM	-265	-25	min
SRR10582210	vehicle	DMSO	NA or not known	-265	-25	min
SRR10582211	treatment	DRB	100 microM	-265	-25	min
SRR10582211	treatment	THZ531	100 nM	-265	-25	min
SRR10582212	treatment	DRB	100 microM	-265	-25	min
SRR10582212	treatment	THZ531	200 nM	-265	-25	min
SRR10582213	treatment	DRB	100 microM	-285	-45	min
SRR10582213	vehicle	DMSO	NA or not known	-285	-45	min
SRR10582214	treatment	DRB	100 microM	-285	-45	min
SRR10582214	treatment	THZ531	100 nM	-285	-45	min
SRR10582215	treatment	DRB	100 microM	-285	-45	min
SRR10582215	treatment	THZ531	200 nM	-285	-45	min
SRR10582216	treatment	various	NA or not known			
SRR10582250	treatment	DRB	100 microM	-285	-45	min
SRR10582250	vehicle	DMSO	NA or not known	-285	-45	min
SRR10582251	treatment	DRB	100 microM	-285	-45	min
SRR10582251	vehicle	DMSO	NA or not known	-285	-45	min
SRR10582252	treatment	DRB	100 microM	-285	-45	min
SRR10582252	vehicle	DMSO	NA or not known	-285	-45	min
SRR10582253	treatment	DRB	100 microM	-285	-45	min
SRR10582253	vehicle	DMSO	NA or not known	-285	-45	min
SRR10582254	treatment	DRB	100 microM	-285	-45	min
SRR10582254	treatment	1-NM-PP1	10 microM	-285	-45	min
SRR10582255	treatment	DRB	100 microM	-285	-45	min
SRR10582255	treatment	1-NM-PP1	10 microM	-285	-45	min
SRR10582256	treatment	DRB	100 microM	-285	-45	min
SRR10582256	treatment	1-NM-PP1	10 microM	-285	-45	min
SRR10582257	treatment	DRB	100 microM	-285	-45	min
SRR10582257	treatment	1-NM-PP1	10 microM	-285	-45	min
SRR10582258	treatment	DRB	100 microM	-285	-45	min
SRR10582258	vehicle	DMSO	NA or not known	-285	-45	min
SRR10582259	treatment	DRB	100 microM	-285	-45	min
SRR10582259	treatment	1-NM-PP1	10 microM	-285	-45	min
SRR10582260	treatment	DRB	100 microM	-285	-45	min
SRR10582260	treatment	1-NM-PP1	10 microM	-285	-45	min
SRR10582180	vehicle	DMSO	NA or not known	-25	-5	min
SRR10582180	treatment	4-thiouridine	1 mM	-5	0	min
SRR10582181	treatment	1-NM-PP1	10 microM	-25	-5	min
SRR10582181	treatment	4-thiouridine	1 mM	-5	0	min
SRR10582182	vehicle	DMSO	NA or not known	-25	-5	min
SRR10582182	treatment	4-thiouridine	1 mM	-5	0	min
SRR10582183	treatment	1-NM-PP1	10 microM	-25	-5	min
SRR10582183	treatment	4-thiouridine	1 mM	-5	0	min
SRR10582184	vehicle	DMSO	NA or not known	-25	-5	min
SRR10582184	treatment	4-thiouridine	1 mM	-5	0	min
SRR10582185	treatment	1-NM-PP1	10 microM	-25	-5	min
SRR10582185	treatment	4-thiouridine	1 mM	-5	0	min
SRR10582186	vehicle	DMSO	NA or not known	-25	-5	min
SRR10582186	treatment	4-thiouridine	1 mM	-5	0	min
SRR10582187	treatment	1-NM-PP1	10 microM	-25	-5	min
SRR10582187	treatment	4-thiouridine	1 mM	-5	0	min
SRR10582188	treatment	AZ'5576	10 microM	-25	-5	min
SRR10582188	treatment	4-thiouridine	1 mM	-5	0	min
SRR10582189	vehicle	DMSO	NA or not known	-25	-5	min
SRR10582189	treatment	4-thiouridine	1 mM	-5	0	min
SRR10582190	treatment	1-NM-PP1	10 microM	-25	-5	min
SRR10582190	treatment	4-thiouridine	1 mM	-5	0	min
SRR9304728	treatment	anti-TAF1 C413 antibody	NA or not known	-1	0	hr
SRR9304729	treatment	anti-TAF1 C413 antibody	NA or not known	-1	0	hr
SRR9304730	treatment	mock treatment	NA or not known	-1	0	hr
SRR9304731	treatment	mock treatment	NA or not known	-1	0	hr
SRR9304732	treatment	dsRNA LacI	30 microg	-60	0	hr
SRR9304733	treatment	dsRNA LacI	30 microg	-60	0	hr
SRR9304734	treatment	dsRNA LacI	30 microg	-60	0	hr
SRR9304735	treatment	dsRNA Taf1	30 microg	-60	0	hr
SRR9304736	treatment	dsRNA Taf1	30 microg	-60	0	hr
SRR9304737	treatment	dsRNA Taf1	30 microg	-60	0	hr
SRR12482690	no treatment					
SRR12482691	no treatment					
SRR12482692	no treatment					
SRR12482693	no treatment					
SRR12482694	no treatment					
SRR12482695	no treatment					
SRR11811942	treatment	dsRNA beta-galactosidase	10 microg/well	-60	0	hr
SRR11811943	treatment	dsRNA beta-galactosidase	10 microg/well	-60	0	hr
SRR11811944	treatment	dsRNA IntS8	10 microg/well	-60	0	hr
SRR11811945	treatment	dsRNA IntS8	10 microg/well	-60	0	hr
SRR11811946	treatment	dsRNA IntS8	10 microg/well	-60	0	hr
SRR11811946	treatment	copper sulfate	200 microM	-24	0	hr
SRR11811947	treatment	dsRNA IntS8	10 microg/well	-60	0	hr
SRR11811947	treatment	copper sulfate	200 microM	-24	0	hr
SRR11811948	treatment	dsRNA IntS8	10 microg/well	-60	0	hr
SRR11811948	treatment	copper sulfate	200 microM	-24	0	hr
SRR11811949	treatment	dsRNA IntS8	10 microg/well	-60	0	hr
SRR11811949	treatment	copper sulfate	200 microM	-24	0	hr
SRR10354600	vehicle	DMSO	NA or not known	-1	0	hr
SRR10354601	vehicle	DMSO	NA or not known	-1	0	hr
SRR10354602	vehicle	DMSO	NA or not known	-1	0	hr
SRR10354603	vehicle	DMSO	NA or not known	-1	0	hr
SRR10354604	treatment	dTAG7	500 nM	-1	0	hr
SRR10354605	treatment	dTAG7	500 nM	-1	0	hr
SRR10354606	treatment	dTAG7	500 nM	-1	0	hr
SRR10354607	treatment	dTAG7	500 nM	-1	0	hr
SRR10354608	vehicle	DMSO	NA or not known	-2	0	hr
SRR10354609	vehicle	DMSO	NA or not known	-2	0	hr
SRR10354610	vehicle	DMSO	NA or not known	-2	0	hr
SRR10354611	vehicle	DMSO	NA or not known	-2	0	hr
SRR10354612	treatment	dTAG7	500 nM	-2	0	hr
SRR10354613	treatment	dTAG7	500 nM	-2	0	hr
SRR10354614	treatment	dTAG7	500 nM	-2	0	hr
SRR10354615	treatment	dTAG7	500 nM	-2	0	hr
SRR10354616	treatment	NVP2	500 nM	-30	0	min
SRR10354617	treatment	NVP2	500 nM	-30	0	min
SRR10354618	treatment	NVP2	500 nM	-30	0	min
SRR10354619	treatment	NVP2	500 nM	-30	0	min
SRR10354620	treatment	dTAG7	500 nM	-2	0	hr
SRR10354620	treatment	NVP2	500 nM	-30	0	min
SRR10354621	treatment	dTAG7	500 nM	-2	0	hr
SRR10354621	treatment	NVP2	500 nM	-30	0	min
SRR10354622	treatment	dTAG7	500 nM	-2	0	hr
SRR10354622	treatment	NVP2	500 nM	-30	0	min
SRR10354623	treatment	dTAG7	500 nM	-2	0	hr
SRR10354623	treatment	NVP2	500 nM	-30	0	min
SRR10354624	vehicle	DMSO	NA or not known	-2	0	hr
SRR10354625	vehicle	DMSO	NA or not known	-2	0	hr
SRR10354626	treatment	dTAG7	500 nM	-2	0	hr
SRR10354627	treatment	dTAG7	500 nM	-2	0	hr
SRR10354637	vehicle	DMSO	NA or not known	-1	0	hr
SRR10354637	treatment	4-thiouridine	500 microM	-5	0	min
SRR10354638	vehicle	DMSO	NA or not known	-1	0	hr
SRR10354638	treatment	4-thiouridine	500 microM	-5	0	min
SRR10354639	vehicle	DMSO	NA or not known	-1	0	hr
SRR10354639	treatment	4-thiouridine	500 microM	-5	0	min
SRR10354640	vehicle	DMSO	NA or not known	-1	0	hr
SRR10354640	treatment	4-thiouridine	500 microM	-5	0	min
SRR10354641	treatment	dTAG7	500 nM	-1	0	hr
SRR10354641	treatment	4-thiouridine	500 microM	-5	0	min
SRR10354642	treatment	dTAG7	500 nM	-1	0	hr
SRR10354642	treatment	4-thiouridine	500 microM	-5	0	min
SRR10354643	treatment	dTAG7	500 nM	-1	0	hr
SRR10354643	treatment	4-thiouridine	500 microM	-5	0	min
SRR10354644	treatment	dTAG7	500 nM	-1	0	hr
SRR10354644	treatment	4-thiouridine	500 microM	-5	0	min
SRR10354645	vehicle	DMSO	NA or not known	-2	0	hr
SRR10354645	treatment	4-thiouridine	500 microM	-5	0	min
SRR10354646	vehicle	DMSO	NA or not known	-2	0	hr
SRR10354646	treatment	4-thiouridine	500 microM	-5	0	min
SRR10354647	vehicle	DMSO	NA or not known	-2	0	hr
SRR10354647	treatment	4-thiouridine	500 microM	-5	0	min
SRR10354648	vehicle	DMSO	NA or not known	-2	0	hr
SRR10354648	treatment	4-thiouridine	500 microM	-5	0	min
SRR10354649	treatment	dTAG7	500 nM	-2	0	hr
SRR10354649	treatment	4-thiouridine	500 microM	-5	0	min
SRR10354650	treatment	dTAG7	500 nM	-2	0	hr
SRR10354650	treatment	4-thiouridine	500 microM	-5	0	min
SRR10354651	treatment	dTAG7	500 nM	-2	0	hr
SRR10354651	treatment	4-thiouridine	500 microM	-5	0	min
SRR10354652	treatment	dTAG7	500 nM	-2	0	hr
SRR10354652	treatment	4-thiouridine	500 microM	-5	0	min
SRR10354653	vehicle	DMSO	NA or not known	-2	0	hr
SRR10354653	treatment	4-thiouridine	500 microM	-5	0	min
SRR10354654	vehicle	DMSO	NA or not known	-2	0	hr
SRR10354654	treatment	4-thiouridine	500 microM	-5	0	min
SRR10354655	treatment	dTAG7	500 nM	-2	0	hr
SRR10354655	treatment	4-thiouridine	500 microM	-5	0	min
SRR10354656	treatment	dTAG7	500 nM	-2	0	hr
SRR10354656	treatment	4-thiouridine	500 microM	-5	0	min
SRR10354657	treatment	NVP2	500 nM	-30	0	min
SRR10354657	treatment	4-thiouridine	500 microM	-5	0	min
SRR10354658	treatment	NVP2	500 nM	-30	0	min
SRR10354658	treatment	4-thiouridine	500 microM	-5	0	min
SRR10354659	treatment	dTAG7	500 nM	-2	0	hr
SRR10354659	treatment	NVP2	500 nM	-30	0	min
SRR10354659	treatment	4-thiouridine	500 microM	-5	0	min
SRR10354660	treatment	dTAG7	500 nM	-2	0	hr
SRR10354660	treatment	NVP2	500 nM	-30	0	min
SRR10354660	treatment	4-thiouridine	500 microM	-5	0	min
SRR11273554	vehicle	DMSO	NA or not known	-1	0	hr
SRR11273554	treatment	4-thiouridine	500 microM	-5	0	min
SRR11273555	vehicle	DMSO	NA or not known	-1	0	hr
SRR11273555	treatment	4-thiouridine	500 microM	-5	0	min
SRR11273556	treatment	dTAGV-1	500 nM	-1	0	hr
SRR11273556	treatment	4-thiouridine	500 microM	-5	0	min
SRR11273557	treatment	dTAGV-1	500 nM	-1	0	hr
SRR11273557	treatment	4-thiouridine	500 microM	-5	0	min
SRR11273558	vehicle	DMSO	NA or not known	-2	0	hr
SRR11273558	treatment	4-thiouridine	500 microM	-5	0	min
SRR11273559	vehicle	DMSO	NA or not known	-2	0	hr
SRR11273559	treatment	4-thiouridine	500 microM	-5	0	min
SRR11273560	treatment	dTAGV-1	500 nM	-2	0	hr
SRR11273560	treatment	4-thiouridine	500 microM	-5	0	min
SRR11273561	treatment	dTAGV-1	500 nM	-2	0	hr
SRR11273561	treatment	4-thiouridine	500 microM	-5	0	min
SRR8478992	no treatment					
SRR8478993	no treatment					
SRR8478994	treatment	doxycycline	1 microg/mL	-3	0	day
SRR8478995	treatment	doxycycline	1 microg/mL	-3	0	day
SRR8478996	no treatment					
SRR8478997	no treatment					
SRR8478998	treatment	doxycycline	1 microg/mL	-3	0	day
SRR8478999	treatment	doxycycline	1 microg/mL	-3	0	day
SRR8479000	no treatment					
SRR8479001	no treatment					
SRR8479002	treatment	doxycycline	1 microg/mL	-3	0	day
SRR8479003	treatment	doxycycline	1 microg/mL	-3	0	day
SRR8479004	no treatment					
SRR8479005	no treatment					
SRR8479006	treatment	doxycycline	1 microg/mL	-3	0	day
SRR8479007	treatment	doxycycline	1 microg/mL	-3	0	day
SRR11059463	no treatment					
SRR11059464	no treatment					
SRR11059465	treatment	INCB059872	25 nM	-24	0	hr
SRR11059466	treatment	INCB059872	25 nM	-24	0	hr
SRR11059467	treatment	INCB059872	25 nM	-12	0	hr
SRR11059468	treatment	INCB059872	25 nM	-12	0	hr
SRR11059469	treatment	INCB059872	25 nM	-6	0	hr
SRR11059470	treatment	INCB059872	25 nM	-6	0	hr
	vehicle	DMSO	0.1%	-1	0	hr
	vehicle	DMSO	0.1%	-1	0	hr
	treatment	nutlin-3	10 microM	-1	0	hr
	treatment	nutlin-3	10 microM	-1	0	hr
SRR10312745	treatment	HCMV strain Towne IE2 BAC	MOI 3	-96	0	hr
SRR10312745	vehicle	DMSO	NA or not known	-6	0	hr
SRR10312746	treatment	HCMV strain Towne IE2 BAC	MOI 3	-96	0	hr
SRR10312746	treatment	dTag7	200 nM	-6	0	hr
SRR10312747	treatment	HCMV strain Towne IE2F BAC	MOI 3	-96	0	hr
SRR10312747	vehicle	DMSO	NA or not known	-6	0	hr
SRR10312748	treatment	HCMV strain Towne IE2F BAC	MOI 3	-96	0	hr
SRR10312748	treatment	dTag7	200 nM	-6	0	hr
SRR10312749	treatment	HCMV strain Towne IE2 BAC	MOI 3	-96	0	hr
SRR10312749	vehicle	DMSO	NA or not known	-6	0	hr
SRR10312749	treatment	flavopiridol	1 microM	-1	0	hr
SRR10312750	treatment	HCMV strain Towne IE2 BAC	MOI 3	-96	0	hr
SRR10312750	treatment	dTag7	200 nM	-6	0	hr
SRR10312750	treatment	flavopiridol	1 microM	-1	0	hr
SRR10312751	treatment	HCMV strain Towne IE2F BAC	MOI 3	-96	0	hr
SRR10312751	vehicle	DMSO	NA or not known	-6	0	hr
SRR10312751	treatment	flavopiridol	1 microM	-1	0	hr
SRR10312752	treatment	HCMV strain Towne IE2F BAC	MOI 3	-96	0	hr
SRR10312752	treatment	dTag7	200 nM	-6	0	hr
SRR10312752	treatment	flavopiridol	1 microM	-1	0	hr
SRR10312753	treatment	HCMV strain TB40/E IE2F	MOI 3	-72	0	hr
SRR10312753	vehicle	DMSO	NA or not known	-6	0	hr
SRR10312754	treatment	HCMV strain TB40/E IE2F	MOI 3	-72	0	hr
SRR10312754	treatment	dTag7	200 nM	-6	0	hr
SRR10312755	treatment	HCMV strain TB40/E IE2F	MOI 3	-72	0	hr
SRR10312755	vehicle	DMSO	NA or not known	-6	0	hr
SRR10312755	treatment	flavopiridol	1 microM	-1	0	hr
SRR10312756	treatment	HCMV strain TB40/E IE2F	MOI 3	-72	0	hr
SRR10312756	treatment	dTag7	200 nM	-6	0	hr
SRR10312756	treatment	flavopiridol	1 microM	-1	0	hr
SRR10312757	treatment	HCMV strain TB40/E IE2F	MOI 3	-72	0	hr
SRR10312757	vehicle	DMSO	NA or not known	-6	0	hr
SRR10312758	treatment	HCMV strain TB40/E IE2F	MOI 3	-72	0	hr
SRR10312758	treatment	dTag7	200 nM	-6	0	hr
